Id,Expected
199,positive
200,negative
201,positive
202,negative
203,negative
204,neutral
205,positive
206,neutral
207,negative
208,negative
209,negative
210,positive
211,positive
212,negative
213,negative
214,positive
215,negative
216,neutral
217,neutral
218,negative
219,positive
220,negative
221,positive
222,neutral
223,positive
224,neutral
225,neutral
226,negative
227,positive
228,neutral
229,neutral
230,negative
231,negative
232,positive
233,neutral
234,negative
235,negative
236,positive
237,negative
238,negative
239,neutral
240,neutral
241,positive
242,negative
243,neutral
244,negative
245,negative
246,negative
247,negative
248,negative
249,positive
250,positive
251,positive
252,neutral
253,negative
254,neutral
255,negative
256,neutral
257,negative
258,neutral
259,neutral
260,positive
261,negative
262,neutral
263,neutral
264,negative
265,negative
266,neutral
267,neutral
268,negative
269,negative
270,positive
271,negative
272,neutral
273,negative
274,positive
275,negative
276,negative
277,negative
278,negative
279,neutral
280,neutral
281,positive
282,negative
283,neutral
284,negative
285,positive
286,negative
287,negative
288,negative
289,negative
290,positive
291,positive
292,negative
293,negative
294,negative
295,negative
296,negative
297,negative
298,negative
299,negative
300,negative
301,neutral
302,positive
303,negative
304,positive
305,neutral
306,negative
307,negative
308,negative
309,negative
310,positive
311,positive
312,negative
313,negative
314,negative
315,neutral
316,negative
317,positive
318,negative
319,negative
320,neutral
321,neutral
322,negative
323,negative
324,neutral
325,positive
326,positive
327,positive
328,negative
329,positive
330,positive
331,neutral
332,positive
333,negative
334,negative
335,negative
336,negative
337,negative
338,negative
339,negative
340,negative
341,negative
342,negative
343,negative
344,negative
345,negative
346,negative
347,negative
348,neutral
349,negative
350,positive
351,neutral
352,negative
353,positive
354,negative
355,negative
356,negative
357,neutral
358,negative
359,negative
360,negative
361,positive
362,positive
363,negative
364,positive
365,neutral
366,positive
367,negative
368,negative
369,negative
370,negative
371,neutral
372,negative
373,negative
374,negative
375,negative
376,negative
377,negative
378,negative
379,neutral
380,negative
381,neutral
382,negative
383,neutral
384,neutral
385,positive
386,negative
387,positive
388,negative
389,negative
390,positive
391,negative
392,negative
393,negative
394,negative
395,negative
396,neutral
397,negative
398,negative
399,negative
400,negative
401,negative
402,positive
403,negative
404,neutral
405,neutral
406,positive
407,negative
408,negative
409,negative
410,neutral
411,negative
412,negative
413,neutral
414,negative
415,negative
416,positive
417,negative
418,negative
419,negative
420,negative
421,negative
422,negative
423,positive
424,negative
425,negative
426,negative
427,positive
428,negative
429,negative
430,neutral
431,negative
432,negative
433,negative
434,negative
435,positive
436,negative
437,neutral
438,neutral
439,positive
440,neutral
441,negative
442,neutral
443,neutral
444,positive
445,negative
446,negative
447,negative
448,negative
449,negative
450,negative
451,negative
452,negative
453,negative
454,neutral
455,negative
456,negative
457,negative
458,negative
459,positive
460,negative
461,negative
462,positive
463,negative
464,neutral
465,neutral
466,negative
467,negative
468,negative
469,negative
470,negative
471,neutral
472,neutral
473,negative
474,negative
475,neutral
476,positive
477,neutral
478,neutral
479,negative
480,positive
481,negative
482,neutral
483,negative
484,negative
485,negative
486,neutral
487,negative
488,neutral
489,negative
490,negative
491,negative
492,negative
493,negative
494,negative
495,negative
496,negative
497,negative
498,negative
499,positive
500,negative
501,negative
502,negative
503,neutral
504,negative
505,negative
506,neutral
507,negative
508,negative
509,negative
510,positive
511,negative
512,negative
513,negative
514,negative
515,neutral
516,negative
517,negative
518,negative
519,negative
520,negative
521,neutral
522,neutral
523,positive
524,negative
525,neutral
526,negative
527,negative
528,negative
529,negative
530,neutral
531,neutral
532,neutral
533,neutral
534,negative
535,neutral
536,neutral
537,negative
538,neutral
539,negative
540,neutral
541,negative
542,neutral
543,negative
544,neutral
545,negative
546,negative
547,negative
548,negative
549,negative
550,positive
551,negative
552,negative
553,negative
554,negative
555,positive
556,negative
557,positive
558,negative
559,negative
560,positive
561,positive
562,positive
563,neutral
564,positive
565,positive
566,negative
567,neutral
568,negative
569,neutral
570,negative
571,positive
572,negative
573,negative
574,positive
575,negative
576,negative
577,negative
578,negative
579,negative
580,negative
581,neutral
582,negative
583,negative
584,neutral
585,negative
586,negative
587,negative
588,neutral
589,negative
590,negative
591,negative
592,negative
593,negative
594,positive
595,negative
596,negative
597,negative
598,negative
599,neutral
600,negative
601,negative
602,negative
603,negative
604,negative
605,neutral
606,positive
607,negative
608,negative
609,negative
610,negative
611,positive
612,negative
613,negative
614,negative
615,negative
616,negative
617,negative
618,positive
619,positive
620,negative
621,neutral
622,negative
623,negative
624,positive
625,negative
626,neutral
627,negative
628,negative
629,negative
630,neutral
631,positive
632,negative
633,negative
634,negative
635,neutral
636,positive
637,negative
638,positive
639,negative
640,negative
641,neutral
642,negative
643,negative
644,neutral
645,negative
646,negative
647,positive
648,neutral
649,neutral
650,negative
651,negative
652,negative
653,positive
654,negative
655,negative
656,negative
657,neutral
658,negative
659,negative
660,negative
661,negative
662,negative
663,negative
664,negative
665,negative
666,negative
667,negative
668,neutral
669,neutral
670,negative
671,positive
672,neutral
673,negative
674,negative
675,negative
676,negative
677,neutral
678,neutral
679,negative
680,negative
681,negative
682,neutral
683,negative
684,neutral
685,negative
686,neutral
687,negative
688,neutral
689,negative
690,neutral
691,negative
692,positive
693,negative
694,negative
695,negative
696,neutral
697,negative
698,positive
699,negative
700,negative
701,neutral
702,neutral
703,negative
704,negative
705,negative
706,negative
707,negative
708,negative
709,negative
710,negative
711,negative
712,negative
713,positive
714,negative
715,positive
716,negative
717,negative
718,negative
719,negative
720,negative
721,positive
722,negative
723,negative
724,neutral
725,neutral
726,negative
727,negative
728,positive
729,neutral
730,negative
731,negative
732,negative
733,negative
734,neutral
735,neutral
736,positive
737,neutral
738,negative
739,negative
740,neutral
741,negative
742,positive
743,negative
744,positive
745,neutral
746,negative
747,positive
748,negative
749,negative
750,negative
751,negative
752,negative
753,negative
754,negative
755,negative
756,negative
757,negative
758,negative
759,negative
760,positive
761,negative
762,negative
763,positive
764,negative
765,neutral
766,neutral
767,negative
768,negative
769,negative
770,neutral
771,negative
772,negative
773,negative
774,negative
775,neutral
776,negative
777,negative
778,negative
779,positive
780,negative
781,negative
782,negative
783,positive
784,negative
785,positive
786,negative
787,positive
788,negative
789,positive
790,negative
791,negative
792,neutral
793,negative
794,negative
795,negative
796,neutral
797,positive
798,negative
799,negative
800,negative
801,negative
802,negative
803,negative
804,negative
805,neutral
806,negative
807,negative
808,negative
809,negative
810,negative
811,negative
812,negative
813,negative
814,negative
815,negative
816,negative
817,negative
818,negative
819,negative
820,negative
821,negative
822,negative
823,neutral
824,neutral
825,negative
826,negative
827,negative
828,negative
829,negative
830,positive
831,negative
832,negative
833,negative
834,negative
835,negative
836,negative
837,neutral
838,neutral
839,positive
840,negative
841,negative
842,negative
843,negative
844,negative
845,positive
846,neutral
847,negative
848,negative
849,neutral
850,negative
851,negative
852,negative
853,negative
854,negative
855,positive
856,negative
857,neutral
858,negative
859,neutral
860,negative
861,negative
862,negative
863,negative
864,negative
865,positive
866,negative
867,neutral
868,negative
869,positive
870,neutral
871,neutral
872,positive
873,neutral
874,negative
875,negative
876,positive
877,neutral
878,negative
879,neutral
880,negative
881,negative
882,negative
883,positive
884,negative
885,negative
886,neutral
887,positive
888,neutral
889,positive
890,neutral
891,negative
892,negative
893,negative
894,negative
895,positive
896,negative
897,negative
898,neutral
899,positive
900,negative
901,neutral
902,negative
903,negative
904,negative
905,negative
906,negative
907,negative
908,positive
909,neutral
910,positive
911,negative
912,neutral
913,positive
914,positive
915,neutral
916,neutral
917,negative
918,negative
919,negative
920,neutral
921,negative
922,negative
923,positive
924,negative
925,negative
926,negative
927,neutral
928,negative
929,positive
930,neutral
931,negative
932,negative
933,neutral
934,positive
935,negative
936,negative
937,negative
938,negative
939,negative
940,negative
941,negative
942,negative
943,positive
944,negative
945,negative
946,negative
947,neutral
948,negative
949,negative
950,negative
951,neutral
952,positive
953,negative
954,neutral
955,negative
956,negative
957,negative
958,neutral
959,negative
960,negative
961,neutral
962,negative
963,negative
964,negative
965,negative
966,positive
967,negative
968,negative
969,positive
970,positive
971,neutral
972,negative
973,negative
974,negative
975,negative
976,negative
977,negative
978,negative
979,negative
980,neutral
981,negative
982,negative
983,negative
984,negative
985,neutral
986,negative
987,negative
988,positive
989,positive
990,negative
991,negative
992,negative
993,neutral
994,neutral
995,negative
996,neutral
997,positive
998,positive
999,neutral
1000,neutral
1001,negative
1002,neutral
1003,negative
1004,positive
1005,positive
1006,neutral
1007,negative
1008,positive
1009,neutral
1010,negative
1011,positive
1012,negative
1013,neutral
1014,negative
1015,negative
1016,negative
1017,positive
1018,neutral
1019,neutral
1020,negative
1021,negative
1022,negative
1023,neutral
1024,negative
1025,negative
1026,negative
1027,negative
1028,neutral
1029,negative
1030,negative
1031,negative
1032,negative
1033,negative
1034,positive
1035,negative
1036,neutral
1037,positive
1038,negative
1039,negative
1040,negative
1041,negative
1042,neutral
1043,negative
1044,positive
1045,negative
1046,positive
1047,negative
1048,negative
1049,negative
1050,negative
1051,positive
1052,negative
1053,negative
1054,negative
1055,neutral
1056,negative
1057,neutral
1058,negative
1059,neutral
1060,negative
1061,neutral
1062,negative
1063,negative
1064,neutral
1065,neutral
1066,neutral
1067,negative
1068,negative
1069,negative
1070,negative
1071,negative
1072,neutral
1073,neutral
1074,negative
1075,neutral
1076,negative
1077,neutral
1078,positive
1079,positive
1080,negative
1081,negative
1082,negative
1083,negative
1084,positive
1085,neutral
1086,negative
1087,negative
1088,negative
1089,negative
1090,neutral
1091,neutral
1092,neutral
1093,negative
1094,negative
1095,negative
1096,negative
1097,negative
1098,negative
1099,negative
1100,neutral
1101,negative
1102,negative
1103,negative
1104,negative
1105,negative
1106,negative
1107,negative
1108,neutral
1109,neutral
1110,negative
1111,neutral
1112,positive
1113,negative
1114,negative
1115,neutral
1116,negative
1117,positive
1118,neutral
1119,negative
1120,neutral
1121,neutral
1122,neutral
1123,negative
1124,positive
1125,negative
1126,positive
1127,negative
1128,positive
1129,negative
1130,positive
1131,negative
1132,neutral
1133,negative
1134,negative
1135,neutral
1136,negative
1137,negative
1138,positive
1139,negative
1140,neutral
1141,negative
1142,positive
1143,negative
1144,negative
1145,negative
1146,negative
1147,negative
1148,positive
1149,negative
1150,positive
1151,neutral
1152,negative
1153,negative
1154,neutral
1155,negative
1156,positive
1157,negative
1158,negative
1159,positive
1160,negative
1161,negative
1162,negative
1163,negative
1164,positive
1165,positive
1166,negative
1167,negative
1168,negative
1169,positive
1170,negative
1171,positive
1172,negative
1173,negative
1174,negative
1175,neutral
1176,negative
1177,negative
1178,negative
1179,negative
1180,negative
1181,positive
1182,negative
1183,negative
1184,negative
1185,neutral
1186,positive
1187,negative
1188,negative
1189,neutral
1190,neutral
1191,negative
1192,negative
1193,negative
1194,negative
1195,positive
1196,negative
1197,neutral
1198,positive
1199,neutral
1200,negative
1201,negative
1202,positive
1203,neutral
1204,neutral
1205,negative
1206,neutral
1207,negative
1208,positive
1209,negative
1210,negative
1211,negative
1212,negative
1213,negative
1214,negative
1215,negative
1216,negative
1217,neutral
1218,positive
1219,positive
1220,negative
1221,positive
1222,positive
1223,negative
1224,neutral
1225,negative
1226,neutral
1227,negative
1228,negative
1229,negative
1230,negative
1231,negative
1232,neutral
1233,neutral
1234,positive
1235,negative
1236,negative
1237,neutral
1238,negative
1239,negative
1240,negative
1241,neutral
1242,positive
1243,negative
1244,neutral
1245,negative
1246,negative
1247,neutral
1248,negative
1249,neutral
1250,negative
1251,negative
1252,neutral
1253,neutral
1254,neutral
1255,neutral
1256,negative
1257,positive
1258,negative
1259,negative
1260,negative
1261,neutral
1262,negative
1263,negative
1264,positive
1265,positive
1266,negative
1267,negative
1268,negative
1269,neutral
1270,negative
1271,negative
1272,neutral
1273,negative
1274,negative
1275,neutral
1276,negative
1277,neutral
1278,neutral
1279,positive
1280,neutral
1281,positive
1282,positive
1283,positive
1284,negative
1285,negative
1286,negative
1287,negative
1288,negative
1289,negative
1290,negative
1291,negative
1292,neutral
1293,positive
1294,negative
1295,negative
1296,neutral
1297,positive
1298,negative
1299,negative
1300,negative
1301,positive
1302,neutral
1303,positive
1304,neutral
1305,neutral
1306,neutral
1307,negative
1308,negative
1309,negative
1310,negative
1311,neutral
1312,negative
1313,negative
1314,neutral
1315,negative
1316,neutral
1317,positive
1318,negative
1319,neutral
1320,negative
1321,negative
1322,negative
1323,neutral
1324,negative
1325,negative
1326,negative
1327,positive
1328,negative
1329,positive
1330,negative
1331,positive
1332,negative
1333,negative
1334,positive
1335,positive
1336,positive
1337,negative
1338,negative
1339,positive
1340,neutral
1341,neutral
1342,negative
1343,negative
1344,neutral
1345,positive
1346,negative
1347,neutral
1348,negative
1349,positive
1350,negative
1351,negative
1352,negative
1353,neutral
1354,negative
1355,negative
1356,positive
1357,negative
1358,negative
1359,negative
1360,negative
1361,negative
1362,neutral
1363,negative
1364,neutral
1365,positive
1366,negative
1367,negative
1368,negative
1369,negative
1370,neutral
1371,negative
1372,negative
1373,negative
1374,neutral
1375,negative
1376,neutral
1377,positive
1378,neutral
1379,negative
1380,negative
1381,negative
1382,positive
1383,negative
1384,negative
1385,negative
1386,positive
1387,negative
1388,negative
1389,neutral
1390,negative
1391,negative
1392,neutral
1393,negative
1394,negative
1395,negative
1396,positive
1397,positive
1398,positive
1399,positive
1400,negative
1401,negative
1402,negative
1403,negative
1404,neutral
1405,positive
1406,neutral
1407,negative
1408,negative
1409,negative
1410,negative
1411,negative
1412,positive
1413,negative
1414,negative
1415,positive
1416,positive
1417,negative
1418,negative
1419,positive
1420,neutral
1421,negative
1422,negative
1423,neutral
1424,negative
1425,positive
1426,negative
1427,negative
1428,negative
1429,neutral
1430,neutral
1431,negative
1432,positive
1433,positive
1434,negative
1435,positive
1436,neutral
1437,negative
1438,negative
1439,negative
1440,positive
1441,negative
1442,neutral
1443,negative
1444,positive
1445,negative
1446,negative
1447,neutral
1448,negative
1449,neutral
1450,negative
1451,neutral
1452,positive
1453,negative
1454,negative
1455,negative
1456,positive
1457,negative
1458,negative
1459,negative
1460,negative
1461,neutral
1462,negative
1463,neutral
1464,negative
1465,negative
1466,negative
1467,neutral
1468,neutral
1469,negative
1470,negative
1471,negative
1472,positive
1473,negative
1474,positive
1475,neutral
1476,positive
1477,negative
1478,negative
1479,positive
1480,negative
1481,negative
1482,negative
1483,negative
1484,negative
1485,negative
1486,neutral
1487,negative
1488,neutral
1489,positive
1490,neutral
1491,negative
1492,positive
1493,negative
1494,negative
1495,positive
1496,neutral
1497,negative
1498,negative
1499,negative
1500,negative
1501,neutral
1502,negative
1503,negative
1504,neutral
1505,negative
1506,negative
1507,negative
1508,negative
1509,positive
1510,negative
1511,positive
1512,negative
1513,neutral
1514,negative
1515,positive
1516,negative
1517,positive
1518,negative
1519,negative
1520,positive
1521,positive
1522,negative
1523,negative
1524,positive
1525,negative
1526,negative
1527,negative
1528,positive
1529,neutral
1530,negative
1531,negative
1532,negative
1533,negative
1534,positive
1535,negative
1536,negative
1537,negative
1538,positive
1539,positive
1540,negative
1541,negative
1542,neutral
1543,negative
1544,negative
1545,negative
1546,positive
1547,neutral
1548,neutral
1549,positive
1550,negative
1551,negative
1552,neutral
1553,neutral
1554,negative
1555,neutral
1556,negative
1557,positive
1558,positive
1559,negative
1560,neutral
1561,positive
1562,negative
1563,positive
1564,neutral
1565,neutral
1566,negative
1567,neutral
1568,negative
1569,negative
1570,positive
1571,negative
1572,neutral
1573,negative
1574,positive
1575,negative
1576,neutral
1577,negative
1578,positive
1579,neutral
1580,negative
1581,neutral
1582,positive
1583,negative
1584,negative
1585,neutral
1586,negative
1587,neutral
1588,negative
1589,positive
1590,neutral
1591,neutral
1592,negative
1593,negative
1594,negative
1595,negative
1596,neutral
1597,negative
1598,negative
1599,negative
1600,positive
1601,negative
1602,negative
1603,negative
1604,negative
1605,neutral
1606,negative
1607,neutral
1608,neutral
1609,negative
1610,negative
1611,negative
1612,negative
1613,positive
1614,neutral
1615,negative
1616,negative
1617,positive
1618,positive
1619,negative
1620,negative
1621,negative
1622,negative
1623,positive
1624,negative
1625,negative
1626,negative
1627,negative
1628,negative
1629,neutral
1630,positive
1631,positive
1632,negative
1633,negative
1634,negative
1635,neutral
1636,negative
1637,negative
1638,negative
1639,negative
1640,negative
1641,negative
1642,positive
1643,negative
1644,negative
1645,positive
1646,negative
1647,negative
1648,negative
1649,negative
1650,positive
1651,positive
1652,negative
1653,negative
1654,negative
1655,negative
1656,negative
1657,negative
1658,positive
1659,positive
1660,negative
1661,neutral
1662,neutral
1663,negative
1664,negative
1665,positive
1666,neutral
1667,positive
1668,neutral
1669,neutral
1670,negative
1671,negative
1672,negative
1673,negative
1674,negative
1675,neutral
1676,negative
1677,negative
1678,negative
1679,negative
1680,neutral
1681,positive
1682,positive
1683,neutral
1684,neutral
1685,neutral
1686,neutral
1687,negative
1688,neutral
1689,neutral
1690,positive
1691,neutral
1692,negative
1693,negative
1694,negative
1695,positive
1696,negative
1697,negative
1698,negative
1699,negative
1700,negative
1701,negative
1702,negative
1703,positive
1704,neutral
1705,negative
1706,negative
1707,negative
1708,neutral
1709,negative
1710,negative
1711,negative
1712,negative
1713,negative
1714,neutral
1715,neutral
1716,negative
1717,positive
1718,negative
1719,negative
1720,negative
1721,negative
1722,neutral
1723,negative
1724,positive
1725,negative
1726,positive
1727,negative
1728,negative
1729,positive
1730,neutral
1731,negative
1732,negative
1733,positive
1734,negative
1735,positive
1736,negative
1737,neutral
1738,positive
1739,negative
1740,negative
1741,positive
1742,neutral
1743,positive
1744,positive
1745,negative
1746,negative
1747,neutral
1748,positive
1749,neutral
1750,negative
1751,negative
1752,negative
1753,positive
1754,neutral
1755,negative
1756,negative
1757,negative
1758,negative
1759,positive
1760,negative
1761,negative
1762,negative
1763,negative
1764,negative
1765,positive
1766,negative
1767,negative
1768,negative
1769,positive
1770,negative
1771,negative
1772,positive
1773,negative
1774,negative
1775,negative
1776,negative
1777,negative
1778,negative
1779,neutral
1780,negative
1781,negative
1782,positive
1783,negative
1784,negative
1785,neutral
1786,negative
1787,neutral
1788,negative
1789,negative
1790,neutral
1791,negative
1792,neutral
1793,negative
1794,negative
1795,negative
1796,negative
1797,negative
1798,negative
1799,positive
1800,negative
1801,positive
1802,negative
1803,neutral
1804,negative
1805,negative
1806,negative
1807,neutral
1808,positive
1809,neutral
1810,negative
1811,neutral
1812,negative
1813,negative
1814,neutral
1815,negative
1816,neutral
1817,negative
1818,negative
1819,negative
1820,positive
1821,neutral
1822,positive
1823,negative
1824,negative
1825,negative
1826,negative
1827,negative
1828,neutral
1829,negative
1830,negative
1831,negative
1832,neutral
1833,positive
1834,neutral
1835,negative
1836,negative
1837,neutral
1838,neutral
1839,neutral
1840,neutral
1841,negative
1842,negative
1843,positive
1844,negative
1845,negative
1846,negative
1847,negative
1848,negative
1849,negative
1850,negative
1851,negative
1852,neutral
1853,negative
1854,negative
1855,negative
1856,negative
1857,negative
1858,negative
1859,negative
1860,neutral
1861,negative
1862,negative
1863,negative
1864,negative
1865,negative
1866,negative
1867,negative
1868,negative
1869,negative
1870,positive
1871,neutral
1872,neutral
1873,negative
1874,neutral
1875,negative
1876,neutral
1877,positive
1878,negative
1879,negative
1880,negative
1881,negative
1882,positive
1883,neutral
1884,negative
1885,negative
1886,negative
1887,negative
1888,negative
1889,negative
1890,neutral
1891,positive
1892,positive
1893,negative
1894,negative
1895,positive
1896,neutral
1897,negative
1898,negative
1899,negative
1900,neutral
1901,negative
1902,negative
1903,positive
1904,negative
1905,negative
1906,negative
1907,negative
1908,negative
1909,negative
1910,negative
1911,positive
1912,neutral
1913,negative
1914,negative
1915,neutral
1916,negative
1917,negative
1918,negative
1919,neutral
1920,neutral
1921,negative
1922,negative
1923,negative
1924,neutral
1925,positive
1926,neutral
1927,neutral
1928,negative
1929,negative
1930,negative
1931,negative
1932,negative
1933,positive
1934,neutral
1935,negative
1936,negative
1937,positive
1938,negative
1939,negative
1940,negative
1941,negative
1942,negative
1943,neutral
1944,neutral
1945,positive
1946,negative
1947,negative
1948,negative
1949,neutral
1950,negative
1951,negative
1952,negative
1953,negative
1954,negative
1955,neutral
1956,negative
1957,negative
1958,negative
1959,negative
1960,negative
1961,negative
1962,negative
1963,positive
1964,negative
1965,neutral
1966,negative
1967,positive
1968,positive
1969,negative
1970,negative
1971,neutral
1972,negative
1973,negative
1974,neutral
1975,neutral
1976,positive
1977,neutral
1978,negative
1979,neutral
1980,neutral
1981,negative
1982,neutral
1983,negative
1984,negative
1985,positive
1986,negative
1987,negative
1988,negative
1989,negative
1990,negative
1991,negative
1992,positive
1993,positive
1994,negative
1995,neutral
1996,negative
1997,negative
1998,negative
1999,negative
2000,positive
2001,negative
2002,negative
2003,negative
2004,positive
2005,negative
2006,neutral
2007,neutral
2008,negative
2009,negative
2010,positive
2011,negative
2012,negative
2013,negative
2014,negative
2015,negative
2016,negative
2017,negative
2018,negative
2019,positive
2020,negative
2021,negative
2022,negative
2023,neutral
2024,negative
2025,neutral
2026,negative
2027,negative
2028,positive
2029,negative
2030,positive
2031,negative
2032,positive
2033,neutral
2034,neutral
2035,negative
2036,negative
2037,negative
2038,negative
2039,negative
2040,negative
2041,neutral
2042,neutral
2043,negative
2044,neutral
2045,negative
2046,negative
2047,negative
2048,neutral
2049,negative
2050,neutral
2051,neutral
2052,negative
2053,negative
2054,negative
2055,neutral
2056,negative
2057,positive
2058,neutral
2059,negative
2060,negative
2061,negative
2062,negative
2063,negative
2064,negative
2065,positive
2066,neutral
2067,negative
2068,negative
2069,neutral
2070,negative
2071,neutral
2072,positive
2073,negative
2074,neutral
2075,negative
2076,negative
2077,negative
2078,negative
2079,neutral
2080,positive
2081,negative
2082,negative
2083,negative
2084,negative
2085,neutral
2086,neutral
2087,positive
2088,positive
2089,negative
2090,neutral
2091,negative
2092,neutral
2093,negative
2094,neutral
2095,neutral
2096,negative
2097,negative
2098,positive
2099,positive
2100,negative
2101,negative
2102,negative
2103,positive
2104,negative
2105,neutral
2106,negative
2107,negative
2108,neutral
2109,negative
2110,positive
2111,negative
2112,negative
2113,negative
2114,negative
2115,positive
2116,negative
2117,negative
2118,negative
2119,neutral
2120,negative
2121,negative
2122,neutral
2123,negative
2124,negative
2125,negative
2126,positive
2127,positive
2128,negative
2129,negative
2130,negative
2131,negative
2132,negative
2133,negative
2134,negative
2135,neutral
2136,neutral
2137,negative
2138,negative
2139,negative
2140,negative
2141,negative
2142,negative
2143,negative
2144,positive
2145,negative
2146,neutral
2147,negative
2148,negative
2149,negative
2150,positive
2151,neutral
2152,positive
2153,negative
2154,neutral
2155,negative
2156,negative
2157,positive
2158,negative
2159,positive
2160,positive
2161,negative
2162,neutral
2163,positive
2164,neutral
2165,negative
2166,positive
2167,negative
2168,negative
2169,positive
2170,positive
2171,negative
2172,negative
2173,negative
2174,neutral
2175,neutral
2176,negative
2177,negative
2178,negative
2179,neutral
2180,negative
2181,neutral
2182,negative
2183,negative
2184,neutral
2185,negative
2186,positive
2187,positive
2188,negative
2189,positive
2190,neutral
2191,negative
2192,negative
2193,negative
2194,negative
2195,negative
2196,neutral
2197,negative
2198,negative
2199,neutral
2200,negative
2201,negative
2202,negative
2203,positive
2204,neutral
2205,positive
2206,positive
2207,negative
2208,positive
2209,negative
2210,positive
2211,positive
2212,negative
2213,negative
2214,negative
2215,negative
2216,negative
2217,negative
2218,neutral
2219,negative
2220,neutral
2221,positive
2222,negative
2223,negative
2224,positive
2225,neutral
2226,negative
2227,negative
2228,negative
2229,negative
2230,negative
2231,positive
2232,negative
2233,neutral
2234,positive
2235,positive
2236,positive
2237,neutral
2238,negative
2239,negative
2240,negative
2241,neutral
2242,negative
2243,neutral
2244,negative
2245,negative
2246,neutral
2247,negative
2248,neutral
2249,negative
2250,negative
2251,negative
2252,negative
2253,negative
2254,negative
2255,neutral
2256,negative
2257,negative
2258,positive
2259,negative
2260,negative
2261,neutral
2262,negative
2263,positive
2264,neutral
2265,negative
2266,negative
2267,positive
2268,negative
2269,neutral
2270,negative
2271,negative
2272,neutral
2273,negative
2274,negative
2275,negative
2276,negative
2277,negative
2278,negative
2279,positive
2280,negative
2281,negative
2282,negative
2283,negative
2284,positive
2285,neutral
2286,negative
2287,negative
2288,negative
2289,neutral
2290,negative
2291,negative
2292,neutral
2293,positive
2294,negative
2295,neutral
2296,neutral
2297,negative
2298,negative
2299,neutral
2300,neutral
2301,negative
2302,neutral
2303,neutral
2304,negative
2305,neutral
2306,neutral
2307,neutral
2308,positive
2309,negative
2310,negative
2311,negative
2312,neutral
2313,negative
2314,neutral
2315,positive
2316,negative
2317,negative
2318,negative
2319,negative
2320,negative
2321,negative
2322,negative
2323,negative
2324,negative
2325,neutral
2326,neutral
2327,neutral
2328,neutral
2329,negative
2330,neutral
2331,positive
2332,neutral
2333,positive
2334,negative
2335,negative
2336,negative
2337,neutral
2338,negative
2339,negative
2340,neutral
2341,neutral
2342,negative
2343,negative
2344,negative
2345,negative
2346,neutral
2347,negative
2348,positive
2349,negative
2350,positive
2351,neutral
2352,negative
2353,neutral
2354,negative
2355,positive
2356,neutral
2357,negative
2358,neutral
2359,neutral
2360,negative
2361,negative
2362,negative
2363,negative
2364,neutral
2365,negative
2366,positive
2367,positive
2368,positive
2369,negative
2370,negative
2371,negative
2372,negative
2373,negative
2374,positive
2375,negative
2376,positive
2377,positive
2378,positive
2379,negative
2380,negative
2381,positive
2382,negative
2383,negative
2384,positive
2385,negative
2386,negative
2387,positive
2388,neutral
2389,neutral
2390,negative
2391,neutral
2392,neutral
2393,negative
2394,negative
2395,negative
2396,negative
2397,positive
2398,negative
2399,negative
2400,positive
2401,neutral
2402,negative
2403,negative
2404,negative
2405,negative
2406,neutral
2407,negative
2408,neutral
2409,negative
2410,negative
